"state","year","very_dense","moderately_dense","open_mangrove","OF_factor","MDF_factor","VDF_factor","carbon_open","carbon_moderately_dense","carbon_very_dense","total_carbon_stock","period"
"Andhra Pradesh",2026,0,247.601525456619,214.873329474573,44.88,NA,NA,964351.502681882,NA,NA,964351.502681882,"Forecast"
"Andhra Pradesh",2027,0,257.691267698578,214.873329474573,44.88,NA,NA,964351.502681882,NA,NA,964351.502681882,"Forecast"
"Andhra Pradesh",2028,0,267.781009940537,214.873329474573,44.88,NA,NA,964351.502681882,NA,NA,964351.502681882,"Forecast"
"Andhra Pradesh",2029,0,277.870752182497,214.873329474573,44.88,NA,NA,964351.502681882,NA,NA,964351.502681882,"Forecast"
"Andhra Pradesh",2030,0,287.960494424456,214.873329474573,44.88,NA,NA,964351.502681882,NA,NA,964351.502681882,"Forecast"
"Andhra Pradesh",2031,0,298.050236666415,214.873329474573,44.88,NA,NA,964351.502681882,NA,NA,964351.502681882,"Forecast"
"Andhra Pradesh",2032,0,308.139978908374,214.873329474573,44.88,NA,NA,964351.502681882,NA,NA,964351.502681882,"Forecast"
"Andhra Pradesh",2033,0,318.229721150334,214.873329474573,44.88,NA,NA,964351.502681882,NA,NA,964351.502681882,"Forecast"
"Daman & Diu",2003,0,0,1,60.15,NA,NA,6015,NA,NA,6015,"Historical"
"Daman & Diu",2004,0,0,1,60.15,NA,NA,6015,NA,NA,6015,"Historical"
"Daman & Diu",2005,0,0,1,60.15,NA,NA,6015,NA,NA,6015,"Historical"
"Daman & Diu",2006,0,0,1,60.15,NA,NA,6015,NA,NA,6015,"Historical"
"Daman & Diu",2007,0,0,1,60.15,NA,NA,6015,NA,NA,6015,"Historical"
"Daman & Diu",2008,0,0,1,60.15,NA,NA,6015,NA,NA,6015,"Historical"
"Daman & Diu",2009,0,0,1,60.15,NA,NA,6015,NA,NA,6015,"Historical"
"Daman & Diu",2010,0,0.06,1.22,60.15,NA,NA,7338.3,NA,NA,7338.3,"Historical"
"Daman & Diu",2011,0,0.12,1.44,60.15,NA,NA,8661.6,NA,NA,8661.6,"Historical"
"Daman & Diu",2012,0,0.13,1.465,60.15,NA,NA,8811.975,NA,NA,8811.975,"Historical"
"Daman & Diu",2013,0,0.14,1.49,60.15,NA,NA,8962.35,NA,NA,8962.35,"Historical"
"Daman & Diu",2014,0,0.07,2.245,60.15,NA,NA,13503.675,NA,NA,13503.675,"Historical"
"Daman & Diu",2015,0,0,3,60.15,NA,NA,18045,NA,NA,18045,"Historical"
"Daman & Diu",2016,0,0,3,60.15,NA,NA,18045,NA,NA,18045,"Historical"
"Daman & Diu",2017,0,0,3,60.15,NA,NA,18045,NA,NA,18045,"Historical"
"Daman & Diu",2018,0,0,3.05,60.15,NA,NA,18345.75,NA,NA,18345.75,"Historical"
"Daman & Diu",2019,0,0,3.1,60.15,NA,NA,18646.5,NA,NA,18646.5,"Historical"
"Daman & Diu",2020,0,0.105,3.095,60.15,NA,NA,18616.425,NA,NA,18616.425,"Historical"
"Daman & Diu",2021,0,0.21,3.09,60.15,NA,NA,18586.35,NA,NA,18586.35,"Historical"
"Daman & Diu",2022,0,0.21,3.37,60.15,NA,NA,20270.55,NA,NA,20270.55,"Historical"
"Daman & Diu",2023,0,0.21,3.65,60.15,NA,NA,21954.75,NA,NA,21954.75,"Historical"
"Daman & Diu",2024,0,0.165663094781558,3.7963923812214,60.15,NA,NA,22835.3001730467,NA,NA,22835.3001730467,"Forecast"
