"","Index","state","year","Value","lower80","upper80","lower95","upper95"
"1","NDVI","ANDHRA PRADESH",2025,0.734961479,0.734961479,0.734961479,0.734961479,0.734961479
"2","NDVI","ANDHRA PRADESH",2026,0.736086304987811,0.680185240059264,0.791987369916359,0.650593003818281,0.821579606157342
"3","NDVI","ANDHRA PRADESH",2027,0.734316239185318,0.676840368672373,0.791792109698262,0.646414480712112,0.822217997658523
"4","NDVI","ANDHRA PRADESH",2028,0.75314245482155,0.694407805361407,0.811877104281693,0.663315560078111,0.842969349564989
"5","NDVI","ANDHRA PRADESH",2029,0.758037540291648,0.687723223674774,0.828351856908522,0.650501072878372,0.865574007704923
"6","NDVI","ANDHRA PRADESH",2030,0.761140079785548,0.688249785971147,0.834030373599948,0.649663995217653,0.872616164353442
"7","NDVI","GOA",2025,0.694005015,0.694005015,0.694005015,0.694005015,0.694005015
"8","NDVI","GOA",2026,0.722602189730695,0.676194149977472,0.769010229483918,0.651627217708584,0.793577161752806
"9","NDVI","GOA",2027,0.736792527852131,0.685837275349826,0.787747780354436,0.658863194056482,0.81472186164778
"10","NDVI","GOA",2028,0.750982865973567,0.695854204086936,0.806111527860199,0.666670853317434,0.835294878629701
"11","NDVI","GOA",2029,0.765173204095004,0.706165569290282,0.824180838899726,0.674928814294738,0.855417593895269
"12","NDVI","GOA",2030,0.77936354221644,0.71671665427231,0.84201043016057,0.683553395036109,0.87517368939677
"13","NDVI","GUJARAT",2025,0.399941108,0.399941108,0.399941108,0.399941108,0.399941108
"14","NDVI","GUJARAT",2026,0.41831311945222,0.393064366159246,0.443561872745194,0.379698483538029,0.45692775536641
"15","NDVI","GUJARAT",2027,0.427761869154649,0.399449175670566,0.456074562638733,0.384461341086905,0.471062397222394
"16","NDVI","GUJARAT",2028,0.434668570304405,0.405012625472156,0.464324515136653,0.389313716577537,0.480023424031272
"17","NDVI","GUJARAT",2029,0.446401893077482,0.412813550659073,0.479990235495891,0.395032956227481,0.497770829927483
"18","NDVI","GUJARAT",2030,0.456775739071744,0.420407541945236,0.493143936198253,0.401155381321786,0.512396096821703
"19","NDVI","KARNATAKA",2025,0.700338855,0.700338855,0.700338855,0.700338855,0.700338855
"20","NDVI","KARNATAKA",2026,0.725040054757583,0.678787344895982,0.771292764619184,0.654302639304779,0.795777470210386
"21","NDVI","KARNATAKA",2027,0.733238804784846,0.684036673707585,0.782440935862108,0.657990638837601,0.808486970732092
"22","NDVI","KARNATAKA",2028,0.750781623014481,0.701016668605704,0.800546577423258,0.674672693061256,0.826890552967706
"23","NDVI","KARNATAKA",2029,0.769041668332058,0.716936997550742,0.821146339113374,0.689354450975105,0.848728885689011
"24","NDVI","KARNATAKA",2030,0.786829067022359,0.72854149651928,0.845116637525438,0.697685920539739,0.87597221350498
"25","NDVI","KERALA",2025,0.728684002,0.728684002,0.728684002,0.728684002,0.728684002
"26","NDVI","KERALA",2026,0.751970163369093,0.717506468826911,0.786433857911275,0.699262490971875,0.804677835766311
"27","NDVI","KERALA",2027,0.753573147277212,0.710985604228566,0.796160690325859,0.688441120748162,0.818705173806262
"28","NDVI","KERALA",2028,0.763238651112254,0.720461498643689,0.80601580358082,0.697816641999466,0.828660660225043
"29","NDVI","KERALA",2029,0.785532847638347,0.739776670439256,0.831289024837437,0.715554813362106,0.855510881914587
"30","NDVI","KERALA",2030,0.798848866247778,0.745587853429146,0.852109879066409,0.71739317635497,0.880304556140586
"31","NDVI","MAHARASHTRA",2025,0.586257046,0.586257046,0.586257046,0.586257046,0.586257046
"32","NDVI","MAHARASHTRA",2026,0.604480749885022,0.554893923540202,0.654067576229841,0.528644243296863,0.680317256473181
"33","NDVI","MAHARASHTRA",2027,0.612880010120079,0.555487703578036,0.670272316662122,0.525106051711871,0.700653968528288
"34","NDVI","MAHARASHTRA",2028,0.625378509526059,0.55680480098814,0.693952218063977,0.520504072449816,0.730252946602301
"35","NDVI","MAHARASHTRA",2029,0.636166605536271,0.559658854339545,0.712674356732997,0.519158097322237,0.753175113750306
"36","NDVI","MAHARASHTRA",2030,0.647668365632493,0.563354896611887,0.731981834653099,0.518722042179799,0.776614689085188
"37","NDVI","ODISHA",2025,0.686986322,0.686986322,0.686986322,0.686986322,0.686986322
"38","NDVI","ODISHA",2026,0.686986322,0.633973913123499,0.739998730876501,0.605910839026749,0.768061804973251
"39","NDVI","ODISHA",2027,0.686986322,0.612015454392784,0.761957189607216,0.57232827440328,0.80164436959672
"40","NDVI","ODISHA",2028,0.686986322,0.595166136394284,0.778806507605716,0.546559466242144,0.827413177757856
"41","NDVI","ODISHA",2029,0.686986322,0.580961504246997,0.793011139753003,0.524835356053498,0.849137287946502
"42","NDVI","ODISHA",2030,0.686986322,0.56844697210113,0.80552567189887,0.505696030763184,0.868276613236816
"43","NDVI","TAMIL NADU",2025,0.608398775,0.608398775,0.608398775,0.608398775,0.608398775
"44","NDVI","TAMIL NADU",2026,0.594328101757471,0.556482234061364,0.632173969453577,0.536447841889414,0.652208361625527
"45","NDVI","TAMIL NADU",2027,0.61194700612427,0.568373419763158,0.655520592485382,0.545306956483558,0.678587055764982
"46","NDVI","TAMIL NADU",2028,0.615958601466283,0.563852192787296,0.668065010145271,0.536268726224204,0.695648476708362
"47","NDVI","TAMIL NADU",2029,0.625813091313824,0.567767860238643,0.683858322389005,0.537040571003013,0.714585611624635
"48","NDVI","TAMIL NADU",2030,0.633158678325357,0.569198620071096,0.697118736579617,0.53534021046358,0.730977146187133
"49","NDVI","WEST BENGAL",2025,0.644372046,0.644372046,0.644372046,0.644372046,0.644372046
"50","NDVI","WEST BENGAL",2026,0.592854046077406,0.556698884814196,0.629009207340616,0.537559498564591,0.648148593590222
"51","NDVI","WEST BENGAL",2027,0.625949388614091,0.589681582832605,0.662217194395577,0.570482566177025,0.681416211051157
"52","NDVI","WEST BENGAL",2028,0.621495857505132,0.581312602980517,0.661679112029747,0.560040872963497,0.682950842046767
"53","NDVI","WEST BENGAL",2029,0.606222046540632,0.561678867855617,0.650765225225648,0.538099133404115,0.67434495967715
"54","NDVI","WEST BENGAL",2030,0.625404464257197,0.580590379788158,0.670218548726236,0.55686723647727,0.693941692037124
"55","NDVI","ANDAMAN & NICOBAR",2025,0.864200599,0.864200599,0.864200599,0.864200599,0.864200599
"56","NDVI","ANDAMAN & NICOBAR",2026,0.864200599,0.83771262427225,0.89068857372775,0.823690737449688,0.904710460550312
"57","NDVI","ANDAMAN & NICOBAR",2027,0.864200599,0.82674094590022,0.90166025209978,0.806911003385693,0.921490194614307
"58","NDVI","ANDAMAN & NICOBAR",2028,0.864200599,0.818322080981937,0.910079117018063,0.794035460587279,0.934365737412721
"59","NDVI","ANDAMAN & NICOBAR",2029,0.864200599,0.8112246495445,0.9171765484555,0.783180875899377,0.945220322100623
"60","NDVI","ANDAMAN & NICOBAR",2030,0.864200599,0.804971686922455,0.923429511077545,0.773617794814398,0.954783403185602
"61","NDVI","DADRA & NAGAR HAVELI & DAMAN & DIU",2025,0.464524133,0.464524133,0.464524133,0.464524133,0.464524133
"62","NDVI","DADRA & NAGAR HAVELI & DAMAN & DIU",2026,0.480651035360681,0.435021910936541,0.526280159784822,0.410867311535719,0.550434759185644
"63","NDVI","DADRA & NAGAR HAVELI & DAMAN & DIU",2027,0.493605224635127,0.442834154754045,0.544376294516209,0.415957573850822,0.571252875419432
"64","NDVI","DADRA & NAGAR HAVELI & DAMAN & DIU",2028,0.508184054295349,0.446952601086564,0.569415507504135,0.414538627738308,0.601829480852391
"65","NDVI","DADRA & NAGAR HAVELI & DAMAN & DIU",2029,0.521930959885744,0.454558818933639,0.589303100837849,0.418894161853066,0.624967757918422
"66","NDVI","DADRA & NAGAR HAVELI & DAMAN & DIU",2030,0.536103866001558,0.461841582174489,0.610366149828627,0.422529503780016,0.6496782282231
"67","NDVI","PUDUCHERRY",2025,0.706152388,0.706152388,0.706152388,0.706152388,0.706152388
"68","NDVI","PUDUCHERRY",2026,0.716296654800013,0.678971229099813,0.753622080500213,0.659212342278473,0.773380967321553
"69","NDVI","PUDUCHERRY",2027,0.726440921600026,0.673654798353454,0.779227044846597,0.64571151263332,0.807170330566732
"70","NDVI","PUDUCHERRY",2028,0.736585188400039,0.671935654673156,0.801234722126922,0.637712258797591,0.835458118002486
"71","NDVI","PUDUCHERRY",2029,0.746729455200052,0.672078603799652,0.821380306600451,0.632560830156972,0.860898080243132
"72","NDVI","PUDUCHERRY",2030,0.756873722000065,0.673411532845301,0.840335911154829,0.629229318753059,0.884518125247071
"73","EVI","ANDHRA PRADESH",2025,0.461866604,0.461866604,0.461866604,0.461866604,0.461866604
"74","EVI","ANDHRA PRADESH",2026,0.457881129718579,0.427205227020923,0.488557032416234,0.410966385047255,0.504795874389902
"75","EVI","ANDHRA PRADESH",2027,0.464522749111268,0.433438881387715,0.495606616834821,0.416984075774717,0.512061422447819
"76","EVI","ANDHRA PRADESH",2028,0.473004783815661,0.440295992576206,0.505713575055117,0.422981004413598,0.523028563217725
